Unnamed: 0,Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Number of Google Reviews,Normalized Rating,Normalized Fee,Normalized Time,Normalized Reviews,Weekend Availability Score,Significance Score,Type Score,Airport Score,Ranking Score
0,Northern,Delhi,Delhi,India Gate,War Memorial,1921,0.5,4.6,0,Yes,,Historical,Yes,2.6,Evening,260000.0,0.9199999999999999,1.0,0.9285714285714286,0.35135135135135137,1.0,0.3,0.1,0.05,0.8162065637065636
17,Western,Maharastra,Mumbai,Gateway of India,Monument,1924,1.0,4.6,0,Yes,,Historical,Yes,3.6,All,360000.0,0.9199999999999999,1.0,0.8571428571428572,0.4864864864864865,1.0,0.3,0.1,0.05,0.8082915057915058
296,Eastern,Jharkhand,Deoghar,Baba Baidyanath Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,Yes,1.8,All,180000.0,0.9400000000000001,1.0,0.8571428571428572,0.24324324324324326,1.0,0.2,0.4,0.05,0.7989671814671815
220,Eastern,West Bengal,Bolpur,Kankalitala Temple,Temple,Unknown,0.5,4.7,0,Yes,,Religious,No,0.045,All,4500.0,0.9400000000000001,1.0,0.9285714285714286,0.006081081081081081,1.0,0.2,0.4,0.05,0.7966795366795366
130,Western,Maharastra,Kolhapur,Mahalakshmi Temple,Temple,700,1.0,4.8,0,Yes,,Religious,No,0.9,All,90000.0,0.96,1.0,0.8571428571428572,0.12162162162162163,1.0,0.2,0.4,0.05,0.7918050193050192
43,Eastern,West Bengal,Kolkata,Howrah Bridge,Bridge,1943,0.5,4.6,0,Yes,,Architectural,No,1.2,Anytime,120000.0,0.9199999999999999,1.0,0.9285714285714286,0.16216216216216217,1.0,0.15,0.1,0.05,0.7897876447876447
221,Eastern,West Bengal,Hooghly,Hangseswari Temple,Temple,1814,0.5,4.6,0,Yes,,Architectural,No,0.07,All,7000.000000000001,0.9199999999999999,1.0,0.9285714285714286,0.00945945945945946,1.0,0.15,0.4,0.05,0.7895173745173745
182,Central,Uttar Pradesh,Varanasi,Kashi Vishwanath Temple,Temple,Unknown,1.0,4.7,0,Yes,,Religious,No,0.9,All,90000.0,0.9400000000000001,1.0,0.8571428571428572,0.12162162162162163,1.0,0.2,0.4,0.05,0.7868050193050193
45,Eastern,West Bengal,Kolkata,Dakshineswar Kali Temple,Temple,1855,1.0,4.7,0,Yes,,Religious,Yes,0.82,Morning,82000.0,0.9400000000000001,1.0,0.8571428571428572,0.11081081081081082,1.0,0.2,0.4,0.05,0.7857239382239383
31,Southern,Karnataka,Bangalore,ISKCON Temple Bangalore,Temple,1997,1.0,4.6,0,Yes,,Religious,Yes,1.14,Evening,113999.99999999999,0.9199999999999999,1.0,0.8571428571428572,0.15405405405405403,1.0,0.2,0.4,0.05,0.7850482625482624
